country_code,date,holiday_name
IM,1894-03-23,Good Friday
NZ,1894-03-23,Good Friday
PT,1894-03-23,Good Friday
VE,1894-03-23,Good Friday
FI,1894-03-25,Easter Sunday
NL,1894-03-25,Easter Sunday
PT,1894-03-25,Easter Sunday
AU,1894-03-26,Easter Monday
FI,1894-03-26,Easter Monday
FR,1894-03-26,Easter Monday
IE,1894-03-26,Easter Monday
IM,1894-03-26,Easter Monday
NL,1894-03-26,Easter Monday
NZ,1894-03-26,Easter Monday
VE,1894-04-19,Declaration of Independence
BR,1894-04-21,Tiradentes' Day
BO,1894-05-01,Labor Day
FI,1894-05-01,May Day
BR,1894-05-03,Discovery of Brazil
CH,1894-05-03,Ascension Day
FI,1894-05-03,Ascension Day
FR,1894-05-03,Ascension Day
NL,1894-05-03,Ascension Day
BR,1894-05-13,Abolition of slavery in Brazil
FI,1894-05-13,Whit Sunday
NL,1894-05-13,Whit Sunday
FR,1894-05-14,Whit Monday
IE,1894-05-14,Whit Monday
IM,1894-05-14,Whit Monday
NL,1894-05-14,Whit Monday
BO,1894-05-24,Corpus Christi
PT,1894-05-24,Corpus Christi
US,1894-05-30,Memorial Day
IM,1894-06-01,TT Bank Holiday
FI,1894-06-23,Midsummer Eve
FI,1894-06-24,Midsummer Day
VE,1894-06-24,Battle of Carabobo
CA,1894-07-01,Dominion Day
US,1894-07-04,Independence Day
IM,1894-07-05,Tynwald Day
VE,1894-07-05,Independence Day
BR,1894-07-14,Freedom and Independence of American Peoples
FR,1894-07-14,National Day
CH,1894-08-01,National Day
BO,1894-08-06,Independence Day
IE,1894-08-06,August Bank Holiday
FR,1894-08-15,Assumption Day
PT,1894-08-15,Assumption Day
NL,1894-08-31,Queen's Day
CA,1894-09-03,Labor Day
US,1894-09-03,Labor Day
BR,1894-09-07,Independence Day
BR,1894-10-12,Discovery of America
FI,1894-11-01,All Saints' Day
FR,1894-11-01,All Saints' Day
PT,1894-11-01,All Saints' Day
BR,1894-11-02,All Souls' Day
BR,1894-11-15,Republic Proclamation Day
US,1894-11-22,Thanksgiving Day
PT,1894-12-01,Restoration of Independence Day
PT,1894-12-08,Immaculate Conception
FI,1894-12-24,Christmas Eve
VE,1894-12-24,Christmas Eve
AU,1894-12-25,Christmas Day
BO,1894-12-25,Christmas Day
CA,1894-12-25,Christmas Day
CH,1894-12-25,Christmas Day
FI,1894-12-25,Christmas Day
FR,1894-12-25,Christmas Day
GB,1894-12-25,Christmas Day
IE,1894-12-25,Christmas Day
IM,1894-12-25,Christmas Day
NL,1894-12-25,Christmas Day
NZ,1894-12-25,Christmas Day
PT,1894-12-25,Christmas Day
US,1894-12-25,Christmas Day
VE,1894-12-25,Christmas Day
AU,1894-12-26,Boxing Day
FI,1894-12-26,Second Day of Christmas
GB,1894-12-26,Boxing Day
